 ========= SOHO/LASCO CME CATALOG==========      LAST UPDATED: 2024/01/02 19:52
 Date       Time     Central  Width  Linear   2nd order speed      Accel     Mass      Kinetic    MPA   Remarks
                        PA           Speed  initial final   20R                        Energy                 

2009/09/01  06:30:03    231     21    721     611    829    947     21.8*   9.2e+13    2.4e+29    235   
2009/09/01  14:06:03     89      5    168     103    234    340      4.5*   -------    -------     83   Very Poor Event
2009/09/02  00:30:03     52      8    239     347    133      0    -60.4*   -------    -------     58   Very Poor Event; Only C2
2009/09/02  09:30:03    101     12    109     185     27      0    -17.0*   -------    -------     99   Very Poor Event; Only C2
2009/09/02  13:31:36     91      9    174      96    260    442      8.6*   -------    -------     88   Very Poor Event
2009/09/02  13:31:36    206      9    521     346    711   2072    176.7*   -------    -------    212   Very Poor Event; Only 3 points; Only C2
2009/09/02  18:30:03    221      6    524     544    504    185    -11.2*   -------    -------    226   Poor Event; Only C2
2009/09/02  21:30:03    272     66    216     157    275    380      5.1*   2.9e+14    6.8e+28    274   Poor Event
2009/09/03  00:54:03    254     63    157      47    268    263      2.9    2.3e+15    2.8e+29    264   
2009/09/03  10:30:11     83     30     60       4    111    195      1.6*   1.5e+13    2.7e+26     85   1.0; Very Poor Event
2009/09/03  14:30:03     10      9    286     256    317    693     17.6*   -------    -------     12   Poor Event; Only C2
2009/09/03  20:30:03    359      7    317     270    363    830     25.9*   -------    -------    359   Very Poor Event; Only 3 points; Only C2
2009/09/03  23:30:03      1      7    667     936    398      0   -373.4*   -------    -------      3   Poor Event; Only 3 points
2009/09/04  01:54:03    267      7    280     256    307    330      2.0*   -------    -------    265   Poor Event
2009/09/04  06:54:03     94     40    105      78    133    217      1.7*   5.2e+13    2.9e+27     90   Very Poor Event
2009/09/04  09:54:03      3      9    240     364    123      0    -54.8*   -------    -------      4   Very Poor Event; Only C2
2009/09/04  16:06:04    266      6    241     207    276    379      4.4*   -------    -------    265   Very Poor Event
2009/09/04  16:30:04    248     16    307     325    287    234     -2.5*   -------    -------    250   Very Poor Event
2009/09/05  00:06:03    262     11    277     166    386    591     13.6*   -------    -------    263   Very Poor Event
2009/09/05  02:30:03     62      5    215     211    219    289      1.6*   -------    -------     65   Very Poor Event; Only C2
2009/09/05  04:30:03    260      9    318     317    319    320      0.1*   -------    -------    261   Very Poor Event
2009/09/05  05:06:03    325      6    230      51    408   1723    124.2*   -------    -------    322   Very Poor Event; Only 3 points; Only C2
2009/09/05  08:06:03      0      6    280     255    304    642     14.8*   -------    -------      0   Very Poor Event; Only 3 points; Only C2
2009/09/05  09:32:21     73     29    171     144    197    234      1.4*   1.8e+14    2.7e+28     84   Poor Event
2009/09/05  17:06:03      3      9    573     684    462      0    -77.2*   -------    -------      3   Very Poor Event; Only 3 points; Only C2
