 ========= SOHO/LASCO CME CATALOG==========      LAST UPDATED: 2024/01/02 23:18
 Date       Time     Central  Width  Linear   2nd order speed      Accel     Mass      Kinetic    MPA   Remarks
                        PA           Speed  initial final   20R                        Energy                 

2018/10/01  06:36:05     70     21    424     327    531    804     22.9*   8.9e+13    8.0e+28     83   
2018/10/02  06:24:05    274     51    156     220     89      0    -11.3*   2.4e+14    2.9e+28    272   Very Poor Event; Only C2
2018/10/02  09:36:05    342      3    236     280    191      0    -40.1*   -------    -------    341   Very Poor Event; Only C2
2018/10/03  08:36:05     79    113    197       0    486    390      6.4*   5.4e+15    1.0e+30     73   
2018/10/03  15:26:47    266     25    157     105    213    554     12.2*   2.5e+13    3.1e+27    266   Poor Event; Only C2
2018/10/04  14:24:05    268     37    189     184    194    214      0.5*   9.9e+13    1.8e+28    267   Very Poor Event
2018/10/04  17:36:05     68     37    314     219    422    506      9.1*   2.9e+13    1.4e+28     77   Very Poor Event
2018/10/05  00:12:06    133     41    169     102    241    326      4.1*   4.4e+13    6.3e+27    131   Poor Event
2018/10/05  12:12:05     79     24    360     206    516    618     15.0*   8.4e+13    5.4e+28     80   Poor Event
2018/10/07  14:12:06     74     13    289     217    355    836     26.9*   -------    -------     79   Very Poor Event; Only C2
2018/10/07  19:48:06      4      6    482     408    557   1182     51.8*   -------    -------      2   Very Poor Event; Only C2
2018/10/07  23:12:05    148      6    532    ----   ----   ----   ------    -------    -------    144   Very Poor Event; Only 2 points; Only C2
2018/10/08  12:00:05    100     20    258     298    219      0    -28.8*   2.1e+13    7.1e+27     93   Very Poor Event; Only C2
2018/10/09  08:00:06    104     11    317     409    217      0    -37.2*   -------    -------    103   Very Poor Event; Only C2
2018/10/09  13:48:05     91     36    188     256    129      0    -17.9*   2.0e+13    3.6e+27     91   Poor Event; Only C2
2018/10/10  13:25:20    141     16    248     367    132      0   -115.5*   -------    -------    141   Very Poor Event; Only C2
2018/10/10  18:48:05    290     19    218     110    318    828     30.3*   -------    -------    285   Very Poor Event; Only C2
2018/10/11  00:36:07    242     16    268     193    341    517     10.3*   -------    -------    241   Very Poor Event
2018/10/12  02:24:05     95     46    229     124    333    849     28.9*   3.5e+13    9.2e+27     96   Only C2
2018/10/12  14:48:06     94     44    311     136    492   1114     50.5*   6.5e+13    3.1e+28     89   Poor Event; Only C2
2018/10/13  14:24:05     88     38    330     539    133      0    -72.0*   1.1e+14    6.1e+28     91   Poor Event; Only C2
2018/10/13  17:12:05    242     39    230     102    364    450      8.2*   2.5e+13    6.6e+27    247   Poor Event
2018/10/14  00:36:05     89     38    135      57    215    269      3.0*   4.2e+12    3.9e+26     87   Poor Event
2018/10/14  20:48:05     88     40    306     135    487   1010     41.3*   1.1e+14    5.0e+28     94   Poor Event
2018/10/16  05:12:05     92     40    427     375    481    860     25.1*   5.7e+13    5.2e+28    105   Poor Event; Only C2
2018/10/17  03:12:09    270     59    179     212    145      0     -8.4*   2.7e+13    4.3e+27    272   Poor Event; Only C2
2018/10/17  15:05:47    114     12    570     137   1003   4033    689.0*   -------    -------    107   Very Poor Event; Only 3 points; Only C2
2018/10/17  16:00:05     53    107    123      78    172    258      2.5*   5.2e+14    3.9e+28     46   Poor Event
2018/10/18  12:24:05    244     13    354     373    336    234     -3.6*   -------    -------    248   Poor Event
2018/10/18  18:48:05     17      9    825     504   1148   2759    302.1*   -------    -------     19   Very Poor Event; Only C2
2018/10/19  00:24:05     79     40    151     162    140      0     -2.1*   9.0e+11    1.0e+26     86   Very Poor Event; Only C2
2018/10/22  15:36:05    292     70    194     135    253    600     14.5*   3.4e+13    6.5e+27    311   Very Poor Event; Only C2
2018/10/24  21:24:05    285     51    160     216     98      0    -11.6*   3.3e+13    4.2e+27    288   Very Poor Event; Only C2
2018/10/25  07:24:05    119     36    169     257     64      0     -7.6*   5.5e+14    7.8e+28    119   Poor Event
2018/10/25  18:24:05    118     38    308     169    451    464      7.7*   1.2e+14    5.6e+28    116   
2018/10/27  11:24:05    274     26     93      69    117    316      4.0*   3.0e+13    1.3e+27    268   Very Poor Event; Only C2
2018/10/27  22:24:05    103     41     62      14    135    991     40.6*   1.2e+12*   2.2e+25*   105   Very Poor Event; Only C2
2018/10/29  12:48:05    268     11    183      74    281    520     11.4*   -------    -------    266   Very Poor Event
2018/10/29  17:00:05    281     17    241     158    325    496      9.9*   -------    -------    276   Poor Event
2018/10/31  20:00:05    274     25    109       0    208    284      3.5*   1.1e+15    6.4e+28    268   Poor Event
