 ========= SOHO/LASCO CME CATALOG==========      LAST UPDATED: 2024/01/02 23:28
 Date       Time     Central  Width  Linear   2nd order speed      Accel     Mass      Kinetic    MPA   Remarks
                        PA           Speed  initial final   20R                        Energy                 

2019/07/01  19:12:05    115     44    382     284    483    493      7.2*   1.8e+12    1.3e+27    105   
2019/07/02  01:48:06    120     22    196     138    262    580     14.6*   5.3e+12    1.0e+27    114   Poor Event
2019/07/03  09:12:08    109      9    240     291    188      0    -34.9*   -------    -------    109   Very Poor Event; Only C2
2019/07/03  10:24:05    272     54    168     167    170    183      0.2*   5.2e+13    7.4e+27    268   Poor Event; Only C2
2019/07/04  05:48:05    241     11    313     230    393    867     28.9*   -------    -------    246   Very Poor Event; Only C2
2019/07/04  07:12:07    245     11    180      71    272    645     17.1*   -------    -------    246   Poor Event; Only C2
2019/07/04  08:48:05    198      6    480      30    975   3226    437.3*   -------    -------    203   Very Poor Event; Only 3 points; Only C2
2019/07/05  00:48:05     85     31     81      60    101    285      3.2*   1.1e+13    3.6e+26     91   Poor Event; Only C2
2019/07/05  03:12:10     41     11    291     396    187      0    -54.8*   -------    -------     45   Poor Event; Only C2
2019/07/05  12:36:05    242      9    144     153    135      0     -1.5*   -------    -------    242   Poor Event; Only C2
2019/07/05  16:48:05    334     11    256     406    109      0    -85.3*   -------    -------    332   Poor Event; Only C2
2019/07/06  21:48:05     88     52    110      77    144    323      4.0*   3.0e+14    1.8e+28     95   Only C2
2019/07/09  03:36:05     92     44    187     207    165      0     -5.1*   8.7e+11    1.5e+26     89   Very Poor Event; Only C2
2019/07/09  14:36:15    250     10    254     123    386   1046     44.7*   -------    -------    247   Poor Event; Only C2
2019/07/11  16:24:05     88     45    208       0    395    576     13.7*   5.9e+14    1.3e+29     89   
2019/07/12  00:12:05     81     20     59      56     63     84      0.2*   8.3e+12    1.4e+26     82   Poor Event
2019/07/12  10:12:06    290     16    129     167     86      0     -4.4*   -------    -------    286   Very Poor Event; Only C2
2019/07/13  02:36:05    303     53    200     188    212    287      2.0*   5.0e+11    1.0e+26    301   Very Poor Event; Only C2
2019/07/13  22:36:06     84      8    150     168    135      0     -3.1*   -------    -------     83   Very Poor Event
2019/07/14  02:24:05     77     10    178     197    159      0    -10.8*   -------    -------     84   Very Poor Event
2019/07/14  02:48:05    251     25    351     275    424    722     18.5*   8.7e+13    5.3e+28    251   
2019/07/14  05:36:05    293     12    276     280    272    226     -1.2*   -------    -------    291   Poor Event
2019/07/14  10:24:05     82     39    151     128    181    361      5.1*   1.7e+13    1.9e+27     87   Poor Event
2019/07/14  13:25:43     81     12    159     161    156    116     -0.6*   -------    -------     84   Very Poor Event
2019/07/14  16:00:05     80     13    145     112    178    396      6.3*   -------    -------     84   Poor Event
2019/07/14  18:24:05    247     27    191     225    153      0     -9.9*   8.0e+12    1.5e+27    247   Very Poor Event; Only C2
2019/07/15  05:12:05     99     13    120     150     87      0     -7.0*   -------    -------     98   Poor Event; Only C2
2019/07/15  06:00:05     81     12    164     129    198    486     10.2*   -------    -------     84   Very Poor Event; Only C2
2019/07/16  02:24:05     89     14    183     194    173      0     -2.4*   -------    -------     83   Poor Event; Only C2
2019/07/16  06:36:05     80     12    114     148     83      0     -4.8*   -------    -------     83   Very Poor Event; Only C2
2019/07/16  17:36:05    141     10    476     251    705   2302    214.8*   -------    -------    138   Very Poor Event; Only C2
2019/07/17  03:36:05    250     21    287     278    296    324      1.1*   1.5e+14    6.0e+28    255   Poor Event
2019/07/17  22:12:05    266     39     90     155      0      0     -8.4*   6.8e+13    2.8e+27    269   Very Poor Event; Only C2
2019/07/18  10:24:05    268     79    158       0    376    337      4.8    9.3e+15    1.2e+30    270   
2019/07/20  00:48:05    249      8    314     201    428    989     38.7*   -------    -------    251   Poor Event; Only C2
2019/07/20  08:48:05    275      8    269     172    364    482      8.6*   -------    -------    274   Poor Event
2019/07/20  11:48:05    111     12    260     189    333   1127     51.8*   -------    -------    113   Poor Event; Only C2
2019/07/22  00:48:05     27      7    475     280    693   1888    142.8*   -------    -------     30   Poor Event; Only 3 points; Only C2
2019/07/22  08:12:05    265     38     81      63     97    256      2.6*   1.2e+14    3.9e+27    269   Very Poor Event; Only C2
2019/07/22  17:48:05     53      6    350     513    181      0   -147.7*   -------    -------     62   Very Poor Event; Only C2
2019/07/23  10:36:05    118     10    227     284    165      0    -11.0*   -------    -------    117   Poor Event
2019/07/23  15:28:49      3      9    817    1277    364      0   -484.5*   -------    -------      3   Very Poor Event; Only C2
2019/07/23  18:00:05    121     19    214     204    225    286      1.6*   -------    -------    120   Very Poor Event; Only C2
2019/07/24  03:12:11     27     12    416     341    492   1347     71.7*   -------    -------     29   Very Poor Event; Only C2
2019/07/24  08:12:05     74     23    156     150    162    196      0.7*   5.1e+12    6.2e+26     82   Poor Event
