 ========= SOHO/LASCO CME CATALOG==========      LAST UPDATED: 2026/01/30 16:07
 Date       Time     Central  Width  Linear   2nd order speed      Accel     Mass      Kinetic    MPA   Remarks
                        PA           Speed  initial final   20R                        Energy                 

2023/09/01  03:24:05   Halo    360   1339    1423   1254   1321    -12.0    -------    -------    308   
2023/09/01  16:12:06    311     21    431     379    484    729     16.9*   1.4e+12    1.3e+27    312   Poor Event; Only C2
2023/09/01  16:12:06    222     25    350     368    333    235     -3.8*   -------    -------    222   Poor Event
2023/09/01  21:48:07     87     13    402     527    286      0    -47.6*   -------    -------     88   Poor Event
2023/09/01  22:24:05    259     23    710     663    753    743      4.8*   -------    -------    245   
2023/09/01  23:12:11    111     94    441     583    276    345     -9.9*   -------    -------    123   Fixed the MVI roll angle issue on 2026-01-30
2023/09/02  07:12:05    231    156   1176    1353    997   1107    -25.3*   -------    -------    261   Fixed the MVI roll angle issue on 2026-01-30; Partial Halo
2023/09/02  14:24:05     58    143    272      70    465    403      6.6*   -------    -------     26   Fixed the MVI roll angle issue on 2026-01-30; Partial Halo
2023/09/03  00:36:07    270     88    575     669    479    503     -8.2*   -------    -------    288   Fixed the MVI roll angle issue on 2026-01-30
2023/09/03  01:36:32    105     36    264     217    314    482      7.7*   -------    -------    111   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/03  04:24:05     74     25    230     224    235    293      1.4*   -------    -------     84   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/03  04:36:05    292     27    604     603    605    611      0.4*   -------    -------    296   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/03  05:24:05    291    196   1190    1105   1279   1241     13.1    -------    -------    301   Fixed the MVI roll angle issue on 2026-01-30; Partial Halo
2023/09/03  07:36:05    145     65    334     288    382    406      3.4*   -------    -------    153   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/03  09:12:10    308    249   1349    1272   1433   1378     13.0    -------    -------    302   Newly inserted on 2024/01/25; Fixed the MVI roll angle issue on 2026-01-30; Partial Halo
2023/09/03  12:36:06    265    149    449     462    438    417     -1.6*   -------    -------    253   Fixed the MVI roll angle issue on 2026-01-30; Partial Halo
2023/09/03  21:24:05    251     25    612     735    474    309    -18.5*   -------    -------    249   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/04  07:36:05     66     18    189     249    132      0    -20.9*   -------    -------     65   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/04  08:12:05    322     29    335     255    423    534      9.2*   -------    -------    329   Fixed the MVI roll angle issue on 2026-01-30
2023/09/04  13:48:05    110    100    920    1116    716    754    -28.8*   -------    -------    108   Fixed the MVI roll angle issue on 2026-01-30
2023/09/05  06:24:05    309     78    232     195    266    336      3.2*   -------    -------    315   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/05  14:00:05   Halo    360   1539    1328   1764   1636     38.4    1.8e+16*   2.2e+32*   309   Fixed the MVI roll angle issue on 2026-01-30
2023/09/05  18:36:05    184     52    207      91    317    769     24.5*   -------    -------    193   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
