:Product: Daily Particle Data        1994_DPD.txt
:Issued: 0223 UT 22 Jul 1997
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comments and suggestions to sec@sec.noaa.gov
#
#                      1994 Daily Particle Data
#

               GOES-7 Proton Fluence       GOES-7 Electron Fluence      Neutron
             --- Protons/cm2-day-sr ---   -- Electrons/cm2-day-sr --    Monitor
   Date       >1 MeV  >10 MeV  >100 MeV          >2 MeV               % of bkgd
01 Jan 94    3.0e+05  1.1e+04  2.2e+03           3.8e+06                    *
02 Jan 94    1.0e+06  1.1e+04  2.3e+03           1.1e+08                    *
03 Jan 94    6.9e+05  1.2e+04  2.2e+03           1.8e+08                    *
04 Jan 94    2.4e+05  1.1e+04  2.3e+03           6.6e+07                  0.3 %
05 Jan 94    6.5e+05  1.1e+04  2.2e+03           1.1e+08                  0.0 %
06 Jan 94    2.9e+05  1.2e+04  2.4e+03           8.5e+06                 -0.3 %
07 Jan 94    5.8e+05  1.2e+04  2.3e+03           1.2e+07                  0.1 %
08 Jan 94    4.3e+05  1.1e+04  2.2e+03           9.2e+06                  0.5 %
09 Jan 94    6.2e+05  1.0e+04  2.3e+03           6.0e+06                  0.9 %
10 Jan 94    6.8e+05  1.1e+04  2.3e+03           4.1e+06                  0.9 %
11 Jan 94    9.7e+05  1.0e+04  2.2e+03           2.2e+06                 -0.2 %
12 Jan 94    6.9e+06  1.2e+04  1.9e+03           4.3e+07                 -1.3 %
13 Jan 94    9.2e+06  1.5e+04  1.9e+03           2.6e+08                 -0.8 %
14 Jan 94    6.6e+06  1.3e+04  1.8e+03           9.1e+07                 -0.5 %
15 Jan 94    2.1e+06  1.3e+04  2.1e+03           4.2e+08                  0.1 %
16 Jan 94    1.4e+06  1.2e+04  1.9e+03           3.7e+08                  0.2 %
17 Jan 94    2.5e+06  1.1e+04  1.8e+03           2.7e+08                  0.3 %
18 Jan 94    7.0e+06  1.0e+04  1.8e+03           2.9e+08                  0.0 %
19 Jan 94    4.9e+06  9.9e+03  2.0e+03           2.5e+08                 -0.1 %
20 Jan 94    3.4e+06  9.8e+03  1.9e+03           6.1e+08                  0.1 %
21 Jan 94    2.3e+06  9.9e+03  2.1e+03           3.9e+08                  0.3 %
22 Jan 94    7.1e+05  1.0e+04  2.3e+03           1.9e+07                  0.1 %
23 Jan 94    6.0e+05  9.5e+03  2.1e+03           3.3e+07                 -0.3 %
24 Jan 94    6.2e+05  1.0e+04  2.1e+03           3.5e+07                  0.4 %
25 Jan 94    4.8e+05  1.0e+04  2.2e+03           3.1e+07                  0.2 %
26 Jan 94    1.2e+06  9.8e+03  2.1e+03           9.3e+06                  0.5 %
27 Jan 94    9.9e+05  9.8e+03  2.2e+03           6.2e+06                 -0.3 %
28 Jan 94    5.4e+05  9.9e+03  2.2e+03           1.9e+07                 -0.1 %
29 Jan 94    4.8e+05  9.4e+03  2.0e+03           3.1e+07                 -0.7 %
30 Jan 94    3.1e+05  9.5e+03  1.9e+03           4.9e+07                 -0.3 %
31 Jan 94    4.8e+05  3.7e+04  2.7e+04           9.0e+07                 -0.1 %
01 Feb 94    3.0e+05  1.1e+04  2.4e+03           4.5e+07                 -0.1 %
02 Feb 94    3.8e+05  1.1e+04  2.0e+03           1.1e+07                 -0.7 %
03 Feb 94    8.2e+05  1.2e+04  2.2e+03           5.0e+06                 -0.8 %
04 Feb 94    8.0e+05  1.6e+04  3.9e+03           8.1e+06                 -0.3 %
05 Feb 94    2.0e+06  1.1e+04  2.1e+03           4.1e+06                 -1.0 %
06 Feb 94    1.2e+06  1.1e+04  1.9e+03           2.5e+06                 -3.3 %
07 Feb 94    7.2e+06  1.0e+04  1.8e+03           7.7e+07                 -2.2 %
08 Feb 94    5.1e+06  2.3e+04  2.0e+03           1.9e+08                 -0.9 %
09 Feb 94    9.2e+06  1.0e+04  1.9e+03           5.3e+08                  0.1 %
10 Feb 94    5.1e+06  1.2e+04  2.4e+03           5.1e+08                 -0.2 %
11 Feb 94    7.5e+06  1.5e+04  3.7e+03           3.5e+08                  0.4 %
12 Feb 94    8.4e+06  1.2e+04  2.2e+03           1.8e+08                  1.0 %
13 Feb 94    3.9e+06  1.3e+04  2.3e+03           3.0e+08                  1.0 %
14 Feb 94    6.2e+06  1.7e+04  4.4e+03           3.6e+08                  0.9 %
15 Feb 94    5.5e+06  1.4e+04  2.6e+03           8.8e+08                  0.4 %
16 Feb 94    2.7e+06  1.3e+04  2.6e+03           5.4e+08                  0.1 %
17 Feb 94    1.8e+06  1.2e+04  2.6e+03           4.1e+08                  0.3 %
18 Feb 94    1.2e+06  1.4e+04  3.5e+03           4.2e+08                  0.6 %
19 Feb 94    4.2e+06  1.6e+04  3.9e+03           1.0e+08                  0.5 %
20 Feb 94    2.8e+07  3.4e+06  8.9e+03           1.8e+08                  0.3 %
21 Feb 94    1.2e+09  7.5e+07  3.5e+03           1.1e+09                 -1.7 %
22 Feb 94    3.8e+07  2.8e+05  2.4e+03           1.6e+08                 -3.2 %
23 Feb 94    7.3e+06  2.3e+04  3.2e+03           7.9e+08                 -2.0 %
24 Feb 94    5.2e+06  1.8e+04  3.7e+03           9.1e+08                 -1.0 %
25 Feb 94    4.0e+06  1.9e+04  4.0e+03           2.2e+08                 -0.4 %
26 Feb 94    8.9e+05  1.7e+04  4.8e+03           9.6e+07                  0.2 %
27 Feb 94    2.2e+06  2.9e+04  5.7e+03           1.6e+08                  0.1 %
28 Feb 94    3.5e+06  2.3e+04  5.8e+03           1.4e+08                  0.0 %
01 Mar 94    1.5e+07  2.0e+04  5.6e+03           1.6e+07                 -0.1 %
02 Mar 94    2.8e+06  2.1e+04  6.2e+03           9.9e+06                 -0.2 %
03 Mar 94    2.0e+06  1.9e+04  5.5e+03           1.5e+07                 -0.7 %
04 Mar 94    1.7e+06  2.1e+04  7.1e+03           1.6e+07                  0.7 %
05 Mar 94    1.7e+06  2.0e+04  6.4e+03           2.3e+07                 -0.3 %
06 Mar 94    4.3e+06  1.9e+04  5.9e+03           7.5e+06                 -0.4 %
07 Mar 94    1.2e+06  1.6e+04  5.0e+03           3.1e+06                 -0.9 %
08 Mar 94   -1.0e+05 -1.0e+05 -1.0e+05          -1.0e+05                    *
09 Mar 94    1.8e+07  2.1e+04  6.3e+03           1.1e+09                  0.2 %
10 Mar 94    2.1e+07  2.1e+04  7.5e+03           2.2e+09                 -0.1 %
11 Mar 94    2.0e+07  2.3e+04  7.5e+03           2.3e+09                  0.4 %
12 Mar 94    1.7e+07  2.3e+04  8.4e+03           2.4e+09                  0.3 %
