:Product: Daily Particle Data        2016_DPD.txt
:Issued: 02 Jan 2017
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#                           2016 Daily Particle Data
#
#              GOES-13 Proton Fluence     GOES-13 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2016 01 01    8.9e+05  1.2e+04  2.9e+03   3.1e+09    4.3e+07          -999.99
2016 01 02    2.1e+07  4.5e+05  4.1e+03   6.1e+09    1.5e+08          -999.99
2016 01 03    1.2e+07  4.5e+04  2.7e+03   5.2e+09    2.3e+08          -999.99
2016 01 04    3.1e+06  1.4e+04  2.9e+03   4.3e+09    2.7e+08          -999.99
2016 01 05    5.8e+06  1.3e+04  3.1e+03   3.3e+09    2.3e+08          -999.99
2016 01 06    1.8e+06  1.2e+04  3.1e+03   1.8e+09    6.5e+07          -999.99
2016 01 07    1.4e+06  1.2e+04  2.9e+03   3.8e+09    1.7e+08          -999.99
2016 01 08    9.4e+05  1.3e+04  2.9e+03   4.3e+09    2.1e+08          -999.99
2016 01 09    9.8e+05  1.2e+04  3.0e+03   3.5e+09    1.8e+08          -999.99
2016 01 10    1.0e+06  1.2e+04  2.7e+03   2.1e+09    1.0e+08          -999.99
2016 01 11    7.0e+05  1.2e+04  2.9e+03   1.9e+09    7.4e+07          -999.99
2016 01 12    4.5e+05  1.1e+04  2.8e+03   1.2e+09    2.9e+07          -999.99
2016 01 13    5.5e+05  1.2e+04  2.8e+03   3.6e+09    8.4e+07          -999.99
2016 01 14    5.5e+05  1.2e+04  2.8e+03   4.2e+09    1.2e+08          -999.99
2016 01 15    2.0e+05  1.3e+04  3.1e+03   3.9e+09    1.3e+08          -999.99
2016 01 16    4.5e+05  1.3e+04  3.1e+03   3.8e+09    1.7e+08          -999.99
2016 01 17    4.6e+05  1.2e+04  2.9e+03   3.1e+09    1.3e+08          -999.99
2016 01 18    4.4e+05  1.3e+04  3.1e+03   1.8e+09    6.6e+07          -999.99
2016 01 19    7.3e+05  1.2e+04  2.7e+03   1.1e+08    1.2e+06          -999.99
2016 01 20    4.4e+05  1.2e+04  2.8e+03   4.1e+07    1.8e+05          -999.99
2016 01 21    5.7e+05  1.2e+04  3.0e+03   5.8e+08    3.5e+06          -999.99
2016 01 22    2.0e+05  1.2e+04  3.1e+03   3.8e+09    7.4e+07          -999.99
2016 01 23    3.7e+05  1.3e+04  3.3e+03   4.0e+09    1.2e+08          -999.99
2016 01 24    8.0e+05  1.3e+04  3.4e+03   4.9e+09    2.6e+08          -999.99
2016 01 25    5.0e+05  1.3e+04  3.5e+03   1.9e+09    5.6e+07          -999.99
2016 01 26    1.3e+06  1.3e+04  3.2e+03   2.0e+09    1.0e+08          -999.99
2016 01 27    8.5e+05  1.3e+04  3.0e+03   1.5e+09    5.8e+07          -999.99
2016 01 28    2.5e+05  1.3e+04  3.0e+03   5.1e+08    1.3e+07          -999.99
2016 01 29    8.0e+04  1.3e+04  3.1e+03   7.0e+07    1.8e+06          -999.99
2016 01 30    2.1e+05  1.4e+04  3.3e+03   7.0e+07    3.7e+06          -999.99
2016 01 31    3.0e+05  1.3e+04  3.1e+03   8.6e+07    1.1e+06          -999.99
2016 02 01    1.1e+05  1.2e+04  2.8e+03   5.4e+06    2.9e+04          -999.99
2016 02 02    1.2e+05  1.3e+04  3.0e+03   1.5e+07    3.0e+04          -999.99
2016 02 03    5.6e+04  1.4e+04  3.5e+03   4.9e+07    2.7e+04          -999.99
2016 02 04    9.7e+04  1.2e+04  2.8e+03   1.6e+08    3.8e+04          -999.99
2016 02 05    2.8e+05  1.2e+04  2.8e+03   5.7e+08    4.7e+05          -999.99
2016 02 06    3.9e+05  1.3e+04  2.8e+03   1.9e+09    7.5e+06          -999.99
2016 02 07    1.6e+05  1.2e+04  3.0e+03   9.2e+08    3.4e+06          -999.99
2016 02 08    2.2e+05  1.3e+04  3.1e+03   4.8e+08    5.9e+05          -999.99
2016 02 09    3.2e+05  1.3e+04  3.0e+03   9.8e+08    3.4e+06          -999.99
2016 02 10    8.5e+04  1.3e+04  3.1e+03   1.6e+09    5.9e+06          -999.99
2016 02 11    8.6e+04  1.3e+04  3.2e+03   5.7e+08    1.5e+06          -999.99
2016 02 12    1.2e+05  1.3e+04  3.1e+03   1.1e+08    3.6e+05          -999.99
2016 02 13    9.8e+04  1.3e+04  2.8e+03   1.3e+08    2.1e+05          -999.99
2016 02 14    1.6e+05  1.3e+04  3.1e+03   4.3e+08    1.2e+06          -999.99
2016 02 15    1.6e+05  1.3e+04  3.0e+03   7.4e+08    3.2e+06          -999.99
2016 02 16    6.2e+05  1.2e+04  2.8e+03   4.4e+08    1.9e+06          -999.99
2016 02 17    1.4e+06  1.3e+04  3.3e+03   2.9e+09    1.1e+08          -999.99
2016 02 18    4.4e+06  1.3e+04  3.0e+03   5.2e+09    3.7e+08          -999.99
2016 02 19    6.3e+05  1.3e+04  3.2e+03   8.0e+09    1.0e+09          -999.99
2016 02 20    2.4e+05  1.3e+04  3.1e+03   5.9e+09    7.0e+08          -999.99
2016 02 21    3.2e+05  1.3e+04  3.1e+03   6.2e+09    8.9e+08          -999.99
2016 02 22    5.4e+05  1.3e+04  3.2e+03   3.7e+09    3.9e+08          -999.99
2016 02 23    5.6e+05  1.3e+04  3.1e+03   2.9e+09    2.1e+08          -999.99
2016 02 24    1.7e+05  1.3e+04  3.4e+03   6.4e+08    3.0e+07          -999.99
2016 02 25    2.4e+05  1.3e+04  3.3e+03   6.5e+08    2.2e+07          -999.99
2016 02 26    2.8e+05  1.3e+04  2.9e+03   4.8e+08    1.9e+07          -999.99
2016 02 27    2.7e+05  1.3e+04  2.9e+03   4.3e+08    1.9e+07          -999.99
2016 02 28    2.5e+05  1.2e+04  2.7e+03   5.1e+08    3.2e+07          -999.99
2016 02 29    3.2e+05  1.3e+04  2.9e+03   4.6e+08    2.3e+07          -999.99
2016 03 01    3.6e+05  1.3e+04  3.2e+03   1.5e+08    5.2e+06          -999.99
2016 03 02    2.7e+05  1.4e+04  3.5e+03   1.0e+08    2.8e+06          -999.99
2016 03 03    1.9e+05  1.4e+04  3.7e+03   2.4e+08    6.5e+06          -999.99
2016 03 04    1.4e+05  1.3e+04  3.4e+03   2.1e+08    1.0e+07          -999.99
2016 03 05    2.7e+05  1.3e+04  3.0e+03   1.7e+08    8.9e+06          -999.99
2016 03 06    3.7e+05  1.2e+04  2.9e+03   6.7e+07    5.4e+06          -999.99
2016 03 07    2.3e+05  1.2e+04  2.9e+03   1.0e+09    8.4e+06          -999.99
2016 03 08    1.5e+05  1.3e+04  3.0e+03   3.1e+09    1.1e+08          -999.99
2016 03 09    1.5e+05  1.3e+04  3.2e+03   4.0e+09    1.9e+08          -999.99
2016 03 10    7.8e+04  1.3e+04  3.8e+03   1.4e+09    6.3e+07          -999.99
2016 03 11    3.4e+05  1.3e+04  3.3e+03   4.1e+08    9.8e+06          -999.99
2016 03 12    3.0e+05  1.3e+04  3.1e+03   7.1e+08    6.5e+06          -999.99
2016 03 13    1.4e+05  1.3e+04  3.1e+03   3.6e+08    3.9e+06          -999.99
2016 03 14    2.5e+05  1.3e+04  2.9e+03   2.9e+08    3.9e+06          -999.99
2016 03 15    2.9e+05  1.3e+04  2.9e+03   6.3e+08    4.6e+06          -999.99
2016 03 16    1.4e+06  3.5e+04  3.2e+03   2.1e+09    7.7e+07          -999.99
2016 03 17    1.5e+06  1.4e+04  2.9e+03   2.3e+09    8.7e+07          -999.99
2016 03 18    3.6e+05  1.3e+04  3.1e+03   4.0e+09    1.9e+08          -999.99
2016 03 19    2.7e+05  1.3e+04  3.1e+03   1.1e+09    2.9e+07          -999.99
2016 03 20    2.6e+05  1.3e+04  3.1e+03   1.6e+09    3.4e+07          -999.99
2016 03 21    3.3e+05  1.3e+04  3.2e+03   6.3e+08    2.4e+07          -999.99
2016 03 22    2.5e+05  1.3e+04  3.1e+03   8.5e+08    5.3e+07          -999.99
2016 03 23    1.2e+05  1.3e+04  2.9e+03   2.7e+08    7.6e+06          -999.99
2016 03 24    1.6e+05  1.2e+04  2.8e+03   3.7e+08    4.5e+06          -999.99
2016 03 25    1.0e+05  1.2e+04  2.8e+03   4.0e+08    8.4e+06          -999.99
2016 03 26    2.9e+05  1.2e+04  2.8e+03   6.0e+08    1.5e+07          -999.99
