:Product: Daily Particle Data        2017_DPD.txt
:Issued: 0223 UT 07 Apr 2017
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#                        2017 Daily Particle Data
#
#              GOES-13 Proton Fluence     GOES-13 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2017 01 01    1.5e+06  1.5e+04  3.5e+03   1.7e+09    1.6e+07          -999.99
2017 01 02    7.7e+05  1.5e+04  3.5e+03   2.3e+09    2.0e+07          -999.99
2017 01 03    9.4e+05  1.5e+04  3.5e+03   6.5e+08    4.9e+06          -999.99
2017 01 04    9.8e+05  1.6e+04  3.4e+03   8.9e+08    5.9e+06          -999.99
2017 01 05    2.5e+06  1.7e+04  3.4e+03   2.2e+09    3.1e+07          -999.99
2017 01 06    3.5e+06  1.6e+04  3.5e+03   5.9e+09    2.4e+08          -999.99
2017 01 07    7.0e+06  1.6e+04  3.6e+03   8.3e+09    6.6e+08          -999.99
2017 01 08    5.2e+06  1.5e+04  3.4e+03   9.6e+09    9.9e+08          -999.99
2017 01 09    3.4e+06  1.5e+04  3.7e+03   9.8e+09    1.4e+09          -999.99
2017 01 10    2.2e+06  1.5e+04  3.7e+03   8.0e+09    9.4e+08          -999.99
2017 01 11    1.8e+06  1.5e+04  3.8e+03   4.1e+09    3.0e+08          -999.99
2017 01 12    1.9e+06  1.5e+04  3.7e+03   4.1e+09    3.2e+08          -999.99
2017 01 13    1.8e+06  1.5e+04  3.6e+03   2.6e+09    2.1e+08          -999.99
2017 01 14    9.5e+05  1.6e+04  3.8e+03   1.9e+09    1.5e+08          -999.99
2017 01 15    9.9e+05  1.5e+04  3.6e+03   1.7e+09    1.2e+08          -999.99
2017 01 16    1.1e+06  1.5e+04  3.6e+03   1.1e+09    7.7e+07          -999.99
2017 01 17    1.4e+06  1.4e+04  3.2e+03   7.8e+08    4.5e+07          -999.99
2017 01 18    1.9e+06  1.5e+04  3.6e+03   4.2e+08    6.4e+06          -999.99
2017 01 19    2.5e+06  1.5e+04  3.4e+03   2.2e+09    2.4e+07          -999.99
2017 01 20    1.9e+06  1.5e+04  3.5e+03   4.4e+09    8.1e+07          -999.99
2017 01 21    1.9e+06  1.4e+04  3.5e+03   3.4e+09    7.6e+07          -999.99
2017 01 22    2.1e+06  1.4e+04  3.4e+03   2.0e+09    3.5e+07          -999.99
2017 01 23    3.0e+06  1.5e+04  3.8e+03   2.8e+09    5.3e+07          -999.99
2017 01 24    2.0e+06  1.5e+04  3.7e+03   2.7e+09    5.2e+07          -999.99
2017 01 25    4.3e+06  1.5e+04  3.7e+03   1.7e+09    3.2e+07          -999.99
2017 01 26    2.6e+06  1.5e+04  3.4e+03   7.6e+08    1.2e+07          -999.99
2017 01 27    3.5e+06  1.5e+04  3.5e+03   2.2e+09    3.5e+07          -999.99
2017 01 28    1.6e+06  1.5e+04  3.6e+03   4.3e+09    8.8e+07          -999.99
2017 01 29    8.6e+05  1.5e+04  3.6e+03   3.4e+09    8.0e+07          -999.99
2017 01 30    1.0e+06  1.6e+04  3.6e+03   2.4e+09    5.5e+07          -999.99
2017 01 31    2.8e+06  1.4e+04  3.2e+03   8.4e+08    7.9e+06          -999.99
2017 02 01    5.0e+06  1.5e+04  3.6e+03   4.7e+09    3.0e+08          -999.99
2017 02 02    3.6e+06  1.4e+04  3.5e+03   7.4e+09    6.8e+08          -999.99
2017 02 03    2.6e+06  1.4e+04  3.3e+03   6.8e+09    6.8e+08          -999.99
2017 02 04    1.4e+06  1.5e+04  3.4e+03   8.0e+09    8.4e+08          -999.99
2017 02 05    1.6e+06  1.5e+04  3.6e+03   4.5e+09    4.8e+08          -999.99
2017 02 06    1.1e+06  1.5e+04  3.7e+03   5.8e+09    5.3e+08          -999.99
2017 02 07    8.9e+05  1.5e+04  3.8e+03   5.7e+09    5.2e+08          -999.99
2017 02 08    1.8e+06  1.5e+04  3.7e+03   5.8e+09    7.1e+08          -999.99
2017 02 09    1.8e+06  1.5e+04  3.7e+03   4.0e+09    4.4e+08          -999.99
2017 02 10    1.4e+06  1.5e+04  3.4e+03   2.6e+09    2.1e+08          -999.99
2017 02 11    1.0e+06  1.5e+04  3.6e+03   2.1e+09    1.0e+08          -999.99
2017 02 12    1.3e+06  1.6e+04  3.8e+03   2.3e+09    1.6e+08          -999.99
